Name,Type,Alignment,Armor Class,HP,Speed,Str,Dex,Con,Int,Wis,Cha,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,Challenge,Traits,Actions,Legendary Actions,Intro,MetaTitle,MetaDescription,Source
Jaculi,Large beast,Unaligned,14 (natural armor),16 (3d10),30ft.,15,14,11,2,8,3,None,"athletics: +4, perception: +1, stealth: +4",None,None,None,None,"blindsight 30 ft., passive perception 11",error,1/2,"
Camouflage: The jaculi has advantage on Dexterity (Stealth) checks made to hide.
Keen Smell: The jaculi has advantage on Wisdom (Perception) checks that rely on smell.","
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.
Spring: The jaculi springs up to 30 feet in a straight line and makes a bite attack against a target within its reach. This attack has advantage if the jaculi springs at least 10 feet. If the attack hits, the bite deals an extra 7 (2d6) piercing damage.",None,not in this JSON,Jaculi - Monsters | DnD Wiki,"Jaculi is a CR 1/2, Unaligned, beast, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Jessamine,NOT FOUND humanoid,Neutral,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Jessamine - Monsters | DnD Wiki,"Jessamine is a CR NOT FOUND, Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Jobal,NOT FOUND humanoid,Neutral Evil,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Jobal - Monsters | DnD Wiki,"Jobal is a CR NOT FOUND, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Joho,Tiny construct,Neutral,10,NOT FOUND,10ft.,10,10,10,10,10,10,None,None,None,None,poison,poisoned,passive perception 10,error,NOT FOUND,error,error,None,not in this JSON,Joho - Monsters | DnD Wiki,"Joho is a CR NOT FOUND, Neutral, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Kamadan,Large monstrosity,Unaligned,13 (natural armor),67 (9d10 + 18),30ft.,16,16,14,3,14,10,None,"perception: +4, stealth: +7",None,None,None,None,passive perception 14,error,4,"
Keen Smell: The kamadan has advantage on Wisdom (Perception) checks that rely on smell.
Pounce: If the kamadan moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn that target must succeed on a {@dc 13 Strength saving throw or be knocked prone. If the target is knocked prone, the kamadan can make two attacks—one with its bite and one with its snakes—against it as a bonus action.","
Multiattack: The kamadan makes two attacks: one with its bite or claw and one with its snakes.
Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.
Claw: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.
Snakes: Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d6 + 3) piercing damage, and the target must make a DC: 12 Constitution saving throw, taking 21 (6d6) poison damage on a failed save, or half as much damage on a successful one.
Sleep Breath (Recharges after a Short or Long Rest): The kamadan exhales sleep gas in a 30-foot cone. Each creature in that area must succeed on a DC: 12 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if it takes damage or someone uses an action to wake it.",None,not in this JSON,Kamadan - Monsters | DnD Wiki,"Kamadan is a CR 4, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
King of Feathers,Huge monstrosity,Unaligned,13 (natural armor),200 (19d12 + 52),50ft.,25,10,19,2,12,9,None,perception: +4,None,None,None,None,passive perception 14,error,8,"
Detect Invisibility: The King of Feathers can see invisible creatures and objects as if they were visible.
Legendary Resistance (3/Day): If the King of Feathers fails a saving throw, it can choose to succeed instead.","
Multiattack: The King of Feathers makes two attacks: one with its bite and one with its tail. It can't make both attacks against the same target.
Bite: Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 33 (4d12 + 7) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC: 17). Until this grapple ends, the target is restrained, and the tyrannosaurus can't bite another target.
Tail: Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.
Summon Swarm  - Recharge  5: The King of Feathers exhales a swarm of insects (wasps) that forms in a space within 20 feet of it. The swarm acts as an ally of the King of Feathers and takes its turn immediately after it. The swarm disperses after 1 minute. It can't use the Summon Swarm action while it is grappling a creature with its jaws.",None,not in this JSON,King of Feathers - Monsters | DnD Wiki,"King of Feathers is a CR 8, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
KupaluÃ©,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,KupaluÃ© - Monsters | DnD Wiki,"KupaluÃ© is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
KwayothÃ©,NOT FOUND humanoid,Neutral Evil,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,KwayothÃ© - Monsters | DnD Wiki,"KwayothÃ© is a CR NOT FOUND, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Laskilar,NOT FOUND humanoid,Neutral Evil,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Laskilar - Monsters | DnD Wiki,"Laskilar is a CR NOT FOUND, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Liara Portyr,Medium humanoid,Lawful Evil,15 ( studded leather armor),84 (13d8 + 26),30ft.,16,12,15,14,14,16,"Con: +4, Wis: +4","athletics: +5, deception: +5, insight: +4, intimidation: +5",None,None,None,None,passive perception 12,"Common, Draconic, Dwarvish",4,"
Brave: Liara has advantage on saving throws against being frightened.
Flaming Fury: Once per turn, when Liara hits a creature with a melee weapon, she can cause fire to magically erupt from her weapon and deal an extra 10 (3d6) fire damage to the target.","
Multiattack: Liara makes three melee attacks.
Battleaxe: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage when used with two hands.
Heavy Crossbow: Ranged Weapon Attack: +3 to hit, range 100/400 ft., one target. Hit: 6 (1d10 + 1) piercing damage.",None,not in this JSON,Liara Portyr - Monsters | DnD Wiki,"Liara Portyr is a CR 4, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Mantrap,Large plant,Unaligned,12,45 (7d10 + 7),5ft.,15,14,12,1,10,2,None,"perception: +4, stealth: +7",None,None,None,"blinded, deafened, exhaustion, prone","tremorsense 30 ft., passive perception 10",error,1,"
Attractive Pollen (1/Day): When the mantrap detects any creatures nearby, it can use its reaction to release pollen out to a radius of 30 feet. Any beast or humanoid within the area must succeed on a {@dc 11 Wisdom saving throw or be forced to use all its movement on its turns to get as close to the the mantrap as possible. An affected target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.
False Appearance: While the mantrap remains motionless, it is indistinguishable from an ordinary tropical plant.","
Engulf: Melee Weapon Attack: +4 to hit, reach 5 ft., one Medium or smaller creature. Hit: The target is trapped inside the mantrap's leafy jaws. While trapped in this way, the target is blinded and restrained, has total cover from an attacks and other effects outside the mantrap, and takes 14 (4d6) acid damage at the start of each of the target's turns. If the mantrap dies, the creature inside it is no longer restrained by it. A mantrap can engulf only one creature at a time.",None,not in this JSON,Mantrap - Monsters | DnD Wiki,"Mantrap is a CR 1, Unaligned, plant, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Mister Threadneedle,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Mister Threadneedle - Monsters | DnD Wiki,"Mister Threadneedle is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Musharib,NOT FOUND NOT FOUND,Lawful Good,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Musharib - Monsters | DnD Wiki,"Musharib is a CR NOT FOUND, Lawful Good, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
MwaxanarÃ©,Medium humanoid,Lawful Neutral,10,13 (3d8),30ft.,6,10,11,13,12,16,None,"deception: +5, nature: +3, persuasion: +5, religion: +3",None,None,None,None,passive perception 11,"Auran, Common, telepathy 30 ft.",1/8,error,"
Dagger: Melee or Ranged Weapon Attack: ++2 to hit. reach 5 ft. or range 20/60 ft., one target. Hit: 2 (1d4) piercing damage.",None,not in this JSON,MwaxanarÃ© - Monsters | DnD Wiki,"MwaxanarÃ© is a CR 1/8, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Na,Small humanoid,Neutral,10,3 (1d6),30ft.,10,10,10,10,10,10,None,None,None,None,None,None,passive perception 10,Common,0,error,error,None,not in this JSON,Na - Monsters | DnD Wiki,"Na is a CR 0, Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Nanny Pu'pu,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Nanny Pu'pu - Monsters | DnD Wiki,"Nanny Pu'pu is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Nepartak,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,"Common, telepathy 30 ft.",NOT FOUND,error,error,None,not in this JSON,Nepartak - Monsters | DnD Wiki,"Nepartak is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Niles Breakbone,NOT FOUND humanoid,Lawful Good,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Niles Breakbone - Monsters | DnD Wiki,"Niles Breakbone is a CR NOT FOUND, Lawful Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Ortimay Swift and Dark,NOT FOUND NOT FOUND,Chaotic Good,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Ortimay Swift and Dark - Monsters | DnD Wiki,"Ortimay Swift and Dark is a CR NOT FOUND, Chaotic Good, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Orvex Ocrammas,NOT FOUND humanoid,Neutral,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,"Common, Grung",NOT FOUND,error,error,None,not in this JSON,Orvex Ocrammas - Monsters | DnD Wiki,"Orvex Ocrammas is a CR NOT FOUND, Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Pterafolk,Large monstrosity,Neutral Evil,12 (natural armor),26 (4d10 + 4),"30ft., fly 50ft.",15,13,12,9,10,11,None,"perception: +2, survival: +2",None,None,None,None,passive perception 12,Common,1,"
Terror Dive: If the pterafolk is flying and dives at least 30 feet straight toward a target, and then hits that target with a melee weapon attack, the target is frightened until the end of its next turn.","
Multiattack: The pterafolk makes three attacks: one with its bite and two with its claws. Alternatively, it makes two melee attacks with its javelin.
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.
Claw: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.
Javelin: Melee or Ranged Weapon Attack: ++4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage.",None,not in this JSON,Pterafolk - Monsters | DnD Wiki,"Pterafolk is a CR 1, Neutral Evil, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Qawasha,NOT FOUND humanoid,Neutral Good,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Qawasha - Monsters | DnD Wiki,"Qawasha is a CR NOT FOUND, Neutral Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Ras Nsi,Medium monstrosity,Neutral Evil,15 ( bracers of defense}),NOT FOUND,30ft.,17,16,17,18,18,21,"Con: +6, Wis: +7","deception: +8, persuasion: +5, religion: +7, stealth: +6",None,None,poison,poisoned,"darkvision 60 ft., passive perception 14","Abyssal, Common, Draconic",7,"
Special Equipment: Ras Nsi wears bracers of defense, wields a flame tongue longsword, and carries a sending stones||sending stone matched to the one carried by the guide Salida (see chapter 1).
Shapechanger: Ras Nsi can use his action to polymorph into a Medium snake or back into his yuan-ti form. His statistics are the same in each form. Any equipment he is wearing or carrying isn't transformed. He doesn't change form if he dies.
Magic Resistance: Ras Nsi has advantage on saving throws against spells and other magical effects.","
Multiattack: Ras Nsi makes three melee attacks, but can use Constrict only once.
Bite (Snake Form Only): Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage plus 7 (2d6) poison damage.
Constrict: Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC: 14). Until this grapple ends, the target is restrained, and Ras Nsi can't constrict another target.
Flame Tongue Longsword (Yuan-ti Form Only): Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage, or 8 (1d10 + 3) slashing damage when used with two hands, plus 7 (2d6) fire damage.",None,not in this JSON,Ras Nsi - Monsters | DnD Wiki,"Ras Nsi is a CR 7, Neutral Evil, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
River Mist,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,River Mist - Monsters | DnD Wiki,"River Mist is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Salida,NOT FOUND NOT FOUND,Neutral Evil,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,"deception: +6, perception: +3, stealth: +3, survival: +5",None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Salida - Monsters | DnD Wiki,"Salida is a CR NOT FOUND, Neutral Evil, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Sekelok,NOT FOUND NOT FOUND,Neutral Evil,18 (natural armor),NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,poison,poisoned,"darkvision 60 ft., ","Abyssal, Common, Draconic",NOT FOUND,error,error,None,not in this JSON,Sekelok - Monsters | DnD Wiki,"Sekelok is a CR NOT FOUND, Neutral Evil, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Shago,NOT FOUND humanoid,Chaotic Good,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,"athletics: +10, intimidation: +5, survival: +7",None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Shago - Monsters | DnD Wiki,"Shago is a CR NOT FOUND, Chaotic Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Skeleton Key,NOT FOUND NOT FOUND,Unaligned,NOT FOUND,NOT FOUND,30ft.,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,"
Multiattack: The skeleton makes two dagger attacks.
Dagger: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",None,not in this JSON,Skeleton Key - Monsters | DnD Wiki,"Skeleton Key is a CR NOT FOUND, Unaligned, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Spiked Tomb Guardian,Medium construct,Neutral,17,93 (11d8 + 44),30ft.,19,9,18,6,10,5,None,None,None,None,"lightning, poison; and bludgeoning, piercing and slashing, from nonmagical attacks not made with adamantine weapons","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 60 ft., passive perception 10","""understands the languages of its creator but cant speak""",6,"
Berserk: Whenever the tomb guardian starts its turn with 40 hit points or fewer, roll a d6. On a 6, the tomb guardian goes berserk. On each of its turns while berserk, the tomb guardian attacks the nearest creature it can see. If no creature is near enough to move to and attack, the tomb guardian attacks an object, with preference for an object smaller than itself. Once the tomb guardian goes berserk, it continues to do so until it is destroyed or regains all its hit points. The golem's creator, if within 60 feet of the berserk tomb guardian, can try to calm it by speaking firmly and persuasively. The tomb guardian must be able to hear its creator, who must take an action to make a {@dc 15 Charisma (Persuasion) check. If the check succeeds, the tomb guardian ceases being berserk. If it takes damage while still at 40 hit points or fewer, the tomb guardian might go berserk again.
Aversion of Fire: If the tomb guardian takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.
Immutable Form: The tomb guardian is immune to any spell or effect that would alter its form.
Lightning Absorption: Whenever the tomb guardian is subjected to lightning damage, it takes no damage and instead regains a number of hit points equal to the lightning damage dealt.
Magic Resistance: The tomb guardian has advantage on saving throws against spells and other magical effects.
Magic Weapons: The golem's weapon attacks are magical.
Chained: {@note This trait applies when two guardians are chained together.","
Multiattack: The tomb guardian makes two spiked gauntlet attacks.
Spiked Gauntlet: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage plus 9 (2d6) piercing damage.",None,not in this JSON,Spiked Tomb Guardian - Monsters | DnD Wiki,"Spiked Tomb Guardian is a CR 6, Neutral, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Stone Juggernaut,Large construct,Unaligned,15 (natural armor),157 (15d10 + 75),"{'number': 50, 'condition': ' (in one direction chosen at the start of its turn)'}ft.",16,12,15,14,14,16,None,None,None,None,"poison; and bludgeoning, piercing and slashing, from nonmagical attacks not made with adamantine weapons","blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone","blindsight 120 ft., passive perception 10",error,12,"
Devastating Roll: The juggernaut can move through the space of a prone creature. A creature whose space the juggernaut enters for the first time on a turn must make a {@dc 17 Dexterity saving throw, taking 55 (10d10) bludgeoning damage on a failed save, or half as much damage on a successful one.
Immutable Form: The juggernaut is immune to any spell or effect that would alter its form.
Regeneration: As long as it has 1 hit point left, the juggernaut magically regains all its hit points daily at dawn. The juggernaut is destroyed and doesn't regenerate if it drops to 0 hit points.
Siege Monster: The juggernaut deals double damage to objects and structures.","
Slam: Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 25 (3d12 + 6) bludgeoning damage. If the target is a Large or smaller creature, it must succeed on a DC: 17 Strength saving throw or be knocked prone.",None,not in this JSON,Stone Juggernaut - Monsters | DnD Wiki,"Stone Juggernaut is a CR 12, Unaligned, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Strawbundle,Tiny construct,Neutral,10,NOT FOUND,10ft.,10,10,10,10,10,10,None,None,None,None,poison,poisoned,passive perception 10,error,NOT FOUND,error,error,None,not in this JSON,Strawbundle - Monsters | DnD Wiki,"Strawbundle is a CR NOT FOUND, Neutral, construct, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Su-monster,Medium monstrosity,Chaotic Evil,12,27 (5d8 + 5),30ft.,14,15,12,9,13,9,None,"athletics: +6, perception: +3",None,None,None,None,passive perception 13,error,1,error,"
Multiattack: The su-monster makes two attacks: one with its bite and one with its claws.
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.
Claws: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage, or 12 (4d4 + 2) slashing damage if the su-monster is hanging by its tail and all four of its limbs are free.
Psychic Crush  - Recharge  5: The su-monster targets one creature it can see within 30 feet of it. The target must succeed on a DC: 11 Wisdom saving throw or take 17 (5d6) psychic damage and be stunned for 1 minute. The stunned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",None,not in this JSON,Su-monster - Monsters | DnD Wiki,"Su-monster is a CR 1, Chaotic Evil, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Syndra Silvane,NOT FOUND humanoid,Lawful,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,"Common, Dwarvish, Elvish, Halfling",NOT FOUND,error,error,None,not in this JSON,Syndra Silvane - Monsters | DnD Wiki,"Syndra Silvane is a CR NOT FOUND, Lawful, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Tabaxi Hunter,Medium humanoid,Chaotic Good,14 ( leather armor),40 (9d8),30ft.,10,17,11,13,14,15,None,"athletics: +2, perception: +4, stealth: +5, survival: +6",None,None,None,None,"darkvision 60 ft., passive perception 14",Common plus any one language,1,"
Feline Agility: When the tabaxi moves on its turn in combat, it can double its speed until the end of the turn. Once it uses this ability, the tabaxi can't use it again until it moves 0 feet on one of its turns.","
Multiattack: The tabaxi makes two attacks with its claws, its shortsword, or its shortbow.
Claws: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) slashing damage.
Shortsword: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.
Shortbow: Ranged Weapon Attack: +5 to hit, range 80/320 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",None,not in this JSON,Tabaxi Hunter - Monsters | DnD Wiki,"Tabaxi Hunter is a CR 1, Chaotic Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Tabaxi Minstrel,Medium humanoid,Chaotic Good,12,22 (5d8),30ft.,10,15,11,14,12,16,None,"perception: +3, performance: +7, persuasion: +5, stealth: +4",None,None,None,None,"darkvision 60 ft., passive perception 13",Common plus any two languages,1/4,"
Feline Agility: When the tabaxi moves on its turn in combat, it can double its speed until the end of the turn. Once it uses this ability, the tabaxi can't use it again until it moves 0 feet on one of its turns.
Inspire (1/Day): While taking a short rest, the tabaxi can spend 1 minute singing, playing an instrument, telling a story, or reciting a poem to soothe and inspire creatures other than itself. Up to five creatures of the tabaxi's choice that can see and hear its performance gain 8 temporary hit points at the end of the tabaxi's short rest.","
Multiattack: The tabaxi makes two claws attacks or two dart attacks.
Claws: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) slashing damage.
Dart: Ranged Weapon Attack: +4 to hit, range 20/ 60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",None,not in this JSON,Tabaxi Minstrel - Monsters | DnD Wiki,"Tabaxi Minstrel is a CR 1/4, Chaotic Good, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Terracotta Warrior,NOT FOUND NOT FOUND,error,NOT FOUND,NOT FOUND,error,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,None,None,None,None,None,None,,error,NOT FOUND,error,error,None,not in this JSON,Terracotta Warrior - Monsters | DnD Wiki,"Terracotta Warrior is a CR NOT FOUND, error, NOT FOUND, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
Tomb Dwarf,Medium undead,Lawful Evil,14 ( studded leather armor),45 (6d8 + 18),30ft.,15,14,16,10,13,15,None,"perception: +3, stealth: +4",None,"necrotic; and bludgeoning, piercing and slashing from nonmagical attacks that arent silvered",poison,"exhaustion, poisoned","darkvision 60 ft., passive perception 13",the languages it knew in life,3,"
Sunlight Sensitivity: While in sunlight, the tomb dwarf has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.","
Multiattack: The tomb dwarf makes two longsword attacks or two crossbow attacks. It can use its Life Drain in place of one longsword attack.
Life Drain: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) necrotic damage. The target must succeed on a DC: 13 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the target finishes a long rest. The target dies if this effect reduces its hit point maximum to 0.A humanoid slain by this attack rises 24 hours later as a zombie under the tomb dwarf's control, unless the humanoid is restored to life or its body is destroyed. The tomb dwarf can have no more than twelve zombies under its control at one time.
Battleaxe: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) slashing damage, or 7 (1d10 + 2) slashing damage if used with two hands.
Light Crossbow: Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",None,not in this JSON,Tomb Dwarf - Monsters | DnD Wiki,"Tomb Dwarf is a CR 3, Lawful Evil, undead, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-toa.json
